,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,WC_Rating
0,Florian Wirtz ,19, AM(C),,22(2),1864,10,2.5,33.8,78.7,0.6,1.3,0.5,7.41,0
1,Jonas Hofmann ,30, M(CLR),,24(2),2082,5,2.7,42.0,81.8,1.8,1.5,0.1,7.2,0
2,Moussa Diaby ,23, M(CLR),,32,2773,12,1.9,28.2,77.2,0.7,0.9,0.2,7.2,0
3,Jude Bellingham ,19, M(CLR),,32,2795,8,1.2,46.4,83.7,0.1,2.0,0.2,7.12,0
4,Vincenzo Grifo ,29, AM(CL),,33(1),2792,7,1.9,36.5,79.4,1.5,2.3,0.1,7.1,0
5,Leon Goretzka ,27, M(CR),,19,1407,3,1.5,43.8,83.9,0.2,1.5,0.0,7.08,0
6,Manu Koné ,21, DMC,,25(1),2107,0,0.5,43.9,85.5,0.0,0.9,0.0,6.99,0
7,Maximilian Arnold ,28, M(CR),,34,2996,2,1.7,49.1,83.2,1.7,5.0,0.1,6.99,0
8,Ellyes Skhiri ,27, DMC,,20(2),1820,1,0.7,43.0,84.6,0.0,2.2,0.0,6.98,0
9,Kerem Demirbay ,29, M(C),,23(6),2053,4,1.6,43.0,81.6,1.5,4.0,0.1,6.98,0
10,Jamal Musiala ,19, M(CL),,12(18),1458,5,0.9,23.0,84.8,0.0,0.3,0.1,6.94,0
11,Anton Stach ,23, DMC,,20(9),1864,6,1.1,31.0,72.7,0.6,1.4,0.0,6.93,0
12,Wataru Endo ,29, DMC,,33,2902,2,0.7,47.2,80.7,0.1,1.8,0.1,6.93,0
13,Patrick Wimmer ,21, AM(R),,27(4),2067,6,1.4,21.4,58.6,0.6,0.5,0.1,6.92,0
14,Florian Kainz ,29, AM(CLR),,31(1),2347,4,1.5,24.9,70.1,1.7,1.4,0.0,6.88,0
15,Mahmoud Dahoud ,26, M(C),,20(2),1665,3,1.3,46.7,79.8,0.5,1.9,0.3,6.85,0
16,Dominik Szoboszlai ,21, AM(CL),,15(16),1538,8,1.3,27.5,81.0,1.2,1.0,0.1,6.82,0
17,Amadou Haidara ,24, M(CLR),,15(5),1327,1,0.4,38.7,84.1,0.1,1.6,0.1,6.82,0
18,Salih Özcan ,24, M(C),,26(5),2310,0,0.6,42.7,84.1,0.2,1.8,0.0,6.79,0
19,Robert Andrich ,27, M(C),,21(5),1821,2,0.5,38.3,81.1,0.0,1.3,0.2,6.78,0
20,Florian Neuhaus ,25, M(C),,23(5),2038,4,0.7,38.5,80.8,0.1,2.2,0.2,6.78,0
21,Salih Özcan ,24, M(C),,26(5),2310,0,0.6,42.7,84.1,0.2,1.8,0.0,6.79,0
22,Robert Andrich ,27, M(C),,21(5),1821,2,0.5,38.3,81.1,0.0,1.3,0.2,6.78,0
23,Florian Neuhaus ,25, M(C),,23(5),2038,4,0.7,38.5,80.8,0.1,2.2,0.2,6.78,0
24,Ansgar Knauff ,20, M(R),,8(4),760,1,0.8,20.5,62.6,0.5,0.2,0.1,6.76,0
25,Grischa Prömel ,27, M(C),,28(1),2428,1,0.5,32.2,75.9,0.0,1.6,0.0,6.75,0
26,Niklas Dorsch ,24, DMC,,27(3),2328,0,0.5,35.7,83.4,0.3,3.8,0.1,6.74,0
27,Xaver Schlager ,24, M(C),,13(1),1047,1,0.4,29.6,76.6,0.1,1.1,0.1,6.71,0
28,Paulinho ,22, AM(CLR),,14(10),1219,2,0.9,20.0,82.0,0.3,0.2,0.0,6.71,0
29,Suat Serdar ,25, M(CLR),,27(3),2230,0,0.8,19.1,71.4,0.0,1.2,0.1,6.7,0
30,Diadié Samassékou ,26, DMC,,21(3),1665,0,0.4,29.6,80.3,0.0,1.4,0.0,6.68,0
31,Djibril Sow ,25, DMC,,28(3),2422,3,0.6,39.1,82.9,0.1,2.0,0.1,6.67,0
32,Charles Aránguiz ,33, M(C),,16(10),1576,3,0.7,41.2,84.7,0.1,2.8,0.1,6.67,0
33,Santiago Ascacíbar ,25, DMC,,27(1),2381,1,0.4,41.3,82.5,0.0,1.7,0.0,6.66,0
34,Max Christiansen Greuther Fuerth,25, DMC,,22(5),2056,0,0.4,34.4,79.3,0.1,1.6,0.0,6.63,0
35,Exequiel Palacios ,23, M(C),,12(11),1094,2,0.3,33.8,86.4,0.1,2.0,0.2,6.61,0
36,Maximilian Eggestein ,25, M(CR),,26(5),2205,2,0.7,29.7,74.4,0.1,0.9,0.0,6.6,0
37,Dennis Geiger ,24, M(C),,17(3),1385,2,1.2,36.8,85.6,0.8,2.3,0.1,6.6,0
38,Leandro Barreiro ,22, DMC,,20(11),1790,2,0.5,16.8,71.6,0.0,0.4,0.1,6.6,0
39,Genki Haraguchi ,31, M(CLR),,23(7),1770,6,0.8,17.7,73.8,0.1,0.7,0.0,6.6,0
40,Dejan Ljubicic ,24, M(CR),,22(8),1975,1,0.9,21.7,73.8,0.4,0.9,0.0,6.59,0
41,Kevin Kampl ,31, M(CLR),,25(2),1913,1,0.6,55.3,91.4,0.1,1.7,0.1,6.58,0
42,Kevin Schade ,20, M(R),,7(14),826,1,0.3,7.9,56.4,0.1,0.0,0.0,6.58,0
43,Dominik Kohr ,28, DMC,,19(3),1626,3,0.5,37.9,74.3,0.0,1.4,0.1,6.58,0
44,Arne Maier ,23, M(C),,21(8),1871,6,1.1,25.8,77.1,1.1,2.3,0.0,6.57,0
45,Alessandro Schöpf ,28, M(CLR),,27(4),2407,0,1.4,32.4,79.9,0.5,1.0,0.0,6.54,0
46,Orel Mangala ,24, M(C),,22(6),1863,3,1.0,27.9,83.6,0.0,0.8,0.0,6.53,0
47,Timothy Tillman Greuther Fuerth,23, AM(C),,23(6),2018,2,1.0,22.0,76.7,0.5,0.6,0.1,6.53,0
48,Milos Pantovic ,26, AM(CLR),,18(10),1539,3,1.2,15.7,68.2,0.6,0.7,0.1,6.51,0
49,Aster Vranckx ,19, M(C),,12(12),1139,0,0.5,17.2,79.6,0.2,0.5,0.1,6.51,0
50,Lucas Tousart ,25, DMC,,22(8),1961,0,0.4,23.3,72.8,0.1,1.6,0.1,6.49,0
51,Angelo Stiller ,21, DMC,,18(8),1692,1,0.6,36.3,83.8,0.2,1.0,0.0,6.48,0
52,Manuel Prietl ,31, M(C),,23(3),2122,1,0.2,25.2,78.8,0.0,1.2,0.0,6.45,0
53,Sebastian Vasiliadis ,24, M(C),,16(3),1199,0,0.3,17.4,64.8,0.1,0.9,0.0,6.44,0
54,Luis Díaz ,25, AM(L),,11(2),964,3,1.5,33.8,87.7,0.4,0.5,0.0,7.44,0
55,Rodri ,26, DMC,,33,2887,2,0.9,86.8,91.8,0.1,5.5,0.1,7.43,0
56,Rodrigo Bentancur ,25, M(C),,16(1),1367,4,0.9,59.2,90.0,0.2,2.2,0.1,7.24,0
57,Ilkay Gündogan ,31, M(C),,20(7),1856,4,1.4,47.0,91.2,0.6,2.3,0.2,7.24,0
58,Mason Mount ,23, M(CLR),,27(5),2365,10,1.8,34.8,85.4,1.3,0.7,0.2,7.19,0
59,John McGinn ,27, M(C),,35,3092,4,1.5,35.5,79.5,0.9,3.3,0.2,7.17,0
60,Pierre-Emile Højbjerg ,27, M(C),,36,3199,2,0.7,70.3,89.7,0.1,3.7,0.1,7.16,0
61,Thiago ,31, M(C),,17(8),1538,4,1.2,59.9,89.1,0.0,4.0,0.0,7.1,0
62,Conor Gallagher ,22, AM(C),,33(1),2851,3,1.1,30.9,81.2,1.1,1.4,0.0,7.09,0
63,James Maddison ,25, AM(CLR),,28(7),2468,8,1.4,27.3,80.7,0.6,1.5,0.1,7.06,0
64,Mateo Kovacic ,28, M(CL),,16(9),1557,5,1.1,47.7,88.8,0.0,2.2,0.2,7.05,0
65,Bruno Guimarães ,24, DMC,,11(6),1034,1,0.7,29.7,85.7,0.3,2.6,0.2,7.04,0
66,Bruno Fernandes ,27, M(CLR),,35(1),3120,6,2.5,52.8,78.3,1.1,3.3,0.3,7.03,0
67,James Ward-Prowse ,27, M(CR),,36,3217,5,2.0,50.8,86.3,2.1,1.8,0.1,7.01,0
68,N'Golo Kanté ,31, DMC,,21(5),1778,4,0.9,49.7,86.7,0.0,1.3,0.2,7.01,0
69,Paul Pogba ,29, M(CL),,16(4),1355,9,1.2,43.9,83.5,0.2,3.7,0.2,7.0,0
70,Yves Bissouma ,25, M(C),,25(1),2117,2,0.3,45.7,89.2,0.0,1.7,0.0,6.99,0
71,Tomás Soucek ,27, DMC,,34(1),3062,1,0.6,38.4,76.6,0.1,1.9,0.0,6.97,0
72,Jorginho ,30, DMC,,26(3),2279,2,0.9,64.9,89.3,0.0,2.1,0.1,6.97,0
73,Philippe Coutinho ,30, M(CLR),,16(3),1339,3,1.3,33.1,83.3,0.2,1.4,0.1,6.96,0
74,Dwight McNeil ,22, AM(CLR),,35(3),3114,1,1.2,24.7,77.7,1.1,1.6,0.1,6.96,0
75,Hakim Ziyech ,29, M(CLR),,14(9),1317,3,1.3,27.5,81.2,0.8,1.0,0.0,6.92,0
76,Martin Ødegaard ,23, AM(CR),,32(4),2793,4,2.1,43.3,86.0,0.5,1.2,0.2,6.91,0
77,Youri Tielemans ,25, M(C),,29(3),2634,4,1.2,53.4,83.5,0.4,2.3,0.1,6.9,0
78,Ruben Loftus-Cheek ,26, M(CLR),,13(11),1388,2,0.8,40.0,89.7,0.1,0.6,0.0,6.87,0
79,Fred ,29, M(C),,24(4),2036,4,1.0,48.0,84.1,0.0,2.2,0.2,6.87,0
80,Oriol Romeu ,30, DMC,,34(2),2899,2,1.0,46.5,82.0,0.1,2.8,0.1,6.87,0
81,Josh Brownhill ,26, M(CR),,32(3),2953,3,1.1,32.1,77.4,0.5,1.7,0.0,6.86,0
82,Curtis Jones ,21, AM(C),,10(5),856,1,0.7,39.1,90.5,0.1,1.0,0.0,6.86,0
83,Saïd Benrahma ,27, AM(CLR),,26(6),2184,6,1.0,23.8,81.1,0.3,0.5,0.1,6.86,0
84,Rúben Neves ,25, DMC,,31(2),2663,2,0.8,58.5,84.0,0.3,6.0,0.2,6.85,0
85,James McArthur ,34, M(CLR),,15(6),1438,3,0.8,43.3,83.1,0.3,1.9,0.0,6.83,0
86,Pablo Fornals ,26, M(CLR),,32(4),2804,3,1.3,36.6,78.1,0.5,1.9,0.1,6.8,0
87,Naby Keïta ,27, M(C),,14(9),1175,1,0.7,32.3,86.0,0.0,0.6,0.0,6.79,0
88,Harvey Barnes ,24, AM(CL),,24(8),2107,10,0.9,22.0,76.4,0.2,0.3,0.1,6.79,0
89,Douglas Luiz ,24, M(C),,31(3),2720,3,1.1,42.7,86.8,0.6,1.6,0.1,6.77,0
90,Callum Hudson-Odoi ,21, M(CLR),,11(4),966,2,1.7,23.6,85.3,0.3,0.6,0.0,6.77,0
91,Jacob Ramsey ,21, AM(C),,29(5),2477,1,0.6,29.8,87.0,0.1,0.7,0.0,6.77,0
92,Emiliano Buendía ,25, M(CLR),,22(13),1902,6,1.4,24.3,81.6,0.1,0.8,0.3,6.75,0
93,Emile Smith Rowe ,22, AM(CL),,21(12),1922,2,0.9,23.2,87.4,0.2,0.4,0.1,6.74,0
94,Vitaly Janelt ,24, DMC,,27(4),2309,0,0.7,30.6,77.9,0.2,1.7,0.1,6.73,0
95,Abdoulaye Doucouré ,29, M(C),,29(1),2538,4,0.6,36.1,79.6,0.0,1.0,0.1,6.72,0
96,Moussa Sissoko ,33, M(CR),,36,3221,1,1.0,31.8,78.3,0.4,1.6,0.1,6.7,0
97,João Moutinho ,35, M(C),,34(1),2975,1,1.1,54.9,86.7,0.8,3.8,0.0,6.7,0
98,Anthony Gordon ,21, AM(LR),,25(10),2285,2,1.0,17.5,74.2,0.7,0.2,0.0,6.7,0
99,Kiernan Dewsbury-Hall ,23, M(C),,23(5),2106,2,1.3,41.0,81.2,0.3,1.1,0.1,6.66,0
100,Enock Mwepu ,24, M(CR),,12(6),997,4,0.5,21.4,74.5,0.1,0.3,0.1,6.66,0
101,Michael Olise ,20, AM(CLR),,12(14),1138,5,0.9,21.0,81.4,0.7,1.1,0.1,6.66,0
102,Jadon Sancho ,22, AM(CLR),,20(9),1904,3,1.4,32.2,83.5,0.3,0.4,0.1,6.66,0
103,Juraj Kucka ,35, M(CLR),,22(4),1924,1,0.4,26.1,68.7,0.2,1.0,0.0,6.64,0
104,Manuel Lanzini ,29, M(CLR),,19(11),1789,3,0.8,40.1,91.9,0.2,1.1,0.0,6.64,0
105,Nemanja Matic ,34, DMC,,16(7),1384,4,0.6,45.2,87.1,0.1,2.2,0.2,6.63,0
106,Solly March ,28, M(CLR),,17(14),1739,2,1.1,20.6,77.4,0.8,1.3,0.0,6.59,0
107,Joe Willock ,23, M(C),,24(5),2047,0,0.6,18.8,81.6,0.1,0.6,0.0,6.58,0
108,Alexander Iwobi ,26, M(CLR),,22(6),2037,2,1.3,24.9,79.6,0.4,1.0,0.1,6.58,0
109,Trincão ,22, AM(CR),,16(12),1340,1,0.5,15.3,80.8,0.3,0.6,0.0,6.58,0
110,Jonjo Shelvey ,30, M(C),,22(2),1986,1,0.7,37.5,81.3,0.4,4.9,0.1,6.57,0
111,Oliver Skipp ,21, DMC,,14(4),1349,0,0.4,46.9,90.1,0.1,1.1,0.1,6.57,0
112,Anthony Elanga ,20, AM(LR),,14(7),1217,2,0.4,19.7,78.2,0.2,0.2,0.0,6.56,0
113,Mathias Normann ,26, M(C),,20(3),1653,2,0.6,32.5,71.8,0.3,2.8,0.2,6.56,0
114,Alex Oxlade Chamberlain ,29, M(CLR),,9(8),787,1,0.6,22.2,82.3,0.2,1.4,0.0,6.55,0
115,Imrân Louza ,23, M(CLR),,17(3),1423,0,0.8,32.5,77.5,0.5,2.3,0.1,6.55,0
116,Casemiro ,30, DMC,,31(1),2576,3,0.8,61.3,86.0,0.1,5.5,0.2,7.26,0
117,Iker Muniain ,29, AM(CLR),,34(1),2803,10,3.1,39.2,84.8,1.5,1.5,0.1,7.19,0
118,Daniel Parejo ,33, M(C),,32(1),2712,10,2.0,60.3,87.6,1.6,4.2,0.2,7.17,0
119,Mikel Merino ,26, M(C),,33(1),2896,2,0.9,50.8,77.6,0.2,2.4,0.2,7.16,0
120,Pedri ,19, AM(C),,10(2),891,1,1.3,48.3,86.5,0.6,3.0,0.2,7.12,0
121,Sergio Busquets ,34, DMC,,36,3202,0,0.9,76.9,87.6,0.1,5.6,0.1,7.05,0
122,Luka Modric ,36, M(C),,25(3),2050,8,1.3,58.5,90.1,0.4,3.8,0.2,7.01,0
123,Rubén Alcaraz ,31, DMC,,12(2),1106,0,1.0,45.8,85.5,0.4,4.2,0.1,7.01,0
124,Óscar Trejo ,34, M(CLR),,24(8),2023,9,1.9,28.6,82.2,1.2,1.1,0.1,7.0,0
125,Toni Kroos ,32, M(C),,25(3),2112,3,1.8,76.8,94.9,0.7,7.8,0.1,6.98,0
126,Sergio Canales ,31, M(CLR),,33(1),2803,7,1.9,52.6,85.0,0.4,3.1,0.3,6.94,0
127,Mauro Arambarri ,26, DMC,,31,2667,5,1.5,36.9,77.6,1.4,4.0,0.0,6.93,0
128,Carlos Soler ,25, M(CLR),,28(4),2485,5,1.7,25.8,74.4,1.3,1.7,0.1,6.93,0
129,Guido Rodríguez ,28, DMC,,29(3),2533,2,0.4,45.3,85.5,0.0,3.1,0.0,6.92,0
130,Lucas Torró ,28, DMC,,32(1),2734,0,0.3,38.5,77.8,0.0,1.5,0.0,6.92,0
131,Marco Asensio ,26, AM(CLR),,19(12),1729,0,1.0,25.9,87.7,0.4,0.9,0.0,6.89,0
132,Erik Lamela ,30, AM(CLR),,10(10),1016,2,1.1,23.4,86.3,0.2,0.6,0.2,6.86,0
133,Santiago Comesaña ,25, M(C),,32(3),2698,2,0.8,41.8,82.7,0.1,2.5,0.1,6.86,0
134,Sergi Darder ,28, M(CL),,36,3136,9,1.0,45.8,85.4,0.4,3.8,0.1,6.85,0
135,Luis Milla ,27, DMC,,33(1),2785,3,1.2,38.9,83.6,1.2,2.7,0.1,6.84,0
136,Ivan Rakitic ,34, M(C),,26(9),2188,6,1.2,44.5,85.9,0.8,3.3,0.0,6.83,0
137,Eduardo Camavinga ,19, DMC,,13(13),1233,1,0.5,32.4,90.0,0.0,2.0,0.1,6.82,0
138,Álvaro García ,29, AM(L),,34(2),3006,4,1.2,22.9,70.2,1.2,0.8,0.0,6.81,0
139,Thomas Lemar ,26, AM(CLR),,17(7),1450,5,1.3,28.3,85.3,1.0,1.2,0.0,6.8,0
140,William Carvalho ,30, DMC,,20(13),1806,3,0.7,39.8,88.0,0.0,2.3,0.1,6.8,0
141,Oussama Idrissi ,26, AM(LR),,11(1),910,1,1.8,27.3,81.7,1.0,1.3,0.0,6.79,0
142,Gavi ,18, AM(CL),,28(6),2331,5,0.6,35.2,89.3,0.2,1.0,0.2,6.79,0
143,Rafinha ,30, M(CLR),,13(4),1060,0,0.5,38.4,88.5,0.2,1.4,0.0,6.78,0
144,Samuel Chukwueze ,23, AM(CR),,12(15),1330,3,1.1,16.3,75.2,0.1,0.4,0.1,6.78,0
145,Denis Suárez ,28, M(CLR),,33(5),2839,6,1.2,50.2,83.6,0.8,2.4,0.2,6.78,0
146,Federico Valverde ,24, M(CLR),,19(12),1832,1,0.8,37.0,89.7,0.0,1.5,0.1,6.76,0
147,Martín Zubimendi ,23, DMC,,26(10),2587,1,0.4,40.3,85.7,0.0,2.1,0.0,6.76,0
148,José Campaña ,29, M(CLR),,16(4),1429,2,1.2,40.9,85.9,0.5,2.0,0.1,6.75,0
149,Darwin Machís ,29, AM(LR),,16(9),1381,2,0.7,14.1,71.4,0.6,0.7,0.0,6.73,0
150,Dani Rodríguez ,34, AM(CLR),,33(3),2841,3,1.2,24.6,78.6,0.3,0.8,0.1,6.73,0
151,Franco Cervi ,28, AM(CL),,22(12),1811,3,0.4,19.8,80.1,0.4,0.6,0.0,6.71,0
152,Mamadou Loum ,25, DMC,,26(6),2317,0,0.3,25.9,72.9,0.0,1.6,0.0,6.7,0
153,Jorge de Frutos ,25, AM(R),,20(5),1766,7,0.9,16.4,70.5,0.7,0.7,0.0,6.7,0
154,Thomas Delaney ,30, DMC,,15(11),1545,1,0.4,30.3,78.3,0.0,2.0,0.0,6.69,0
155,Fernando ,35, DMC,,21(3),1851,1,0.3,51.8,89.2,0.0,4.3,0.0,6.69,0
156,Íñigo Ruíz de Galarreta ,29, DMC,,17(5),1390,0,0.5,33.7,82.6,0.1,1.9,0.0,6.68,0
157,Gonzalo Escalante ,29, DMC,,15(2),1307,0,0.4,23.2,66.8,0.1,1.2,0.0,6.67,0
158,Nemanja Maksimovic ,27, M(C),,34(1),2943,1,0.5,23.8,77.7,0.1,0.9,0.0,6.67,0
159,Isi Palazón ,27, AM(R),,27(7),2301,4,1.0,23.9,74.3,0.5,1.5,0.1,6.67,0
160,Fidel ,32, M(CLR),,29(4),2283,6,1.2,29.5,78.7,0.8,1.2,0.1,6.67,0
161,Koke ,30, M(CLR),,29(2),2512,2,0.8,55.6,86.5,0.2,2.3,0.1,6.66,0
162,Rodrygo ,21, AM(CLR),,17(16),1528,4,0.8,19.0,86.1,0.2,0.2,0.0,6.66,0
163,Óscar Valentín ,28, DMC,,29(6),2580,0,0.4,37.5,83.8,0.0,2.6,0.0,6.65,0
164,Francis Coquelin ,31, M(CLR),,8(12),828,1,0.5,23.7,86.0,0.0,0.6,0.0,6.65,0
165,Yangel Herrera ,24, M(C),,19(4),1650,1,0.5,37.2,81.7,0.1,1.0,0.0,6.64,0
166,Yeremi Pino ,19, AM(R),,21(10),1688,4,0.8,16.5,78.9,0.1,0.3,0.0,6.63,0
167,Iddrisu Baba ,26, DMC,,23(3),1945,1,0.4,29.7,79.8,0.0,2.0,0.0,6.63,0
168,Iván Alejo ,27, AM(R),,11(9),1071,2,1.0,11.3,72.0,1.3,0.3,0.0,6.62,0
169,Joan Jordán ,28, M(C),,31(5),2530,1,0.7,49.9,88.5,0.2,4.3,0.0,6.62,0
170,Jon Moncayola ,24, DMC,,33(3),2923,3,0.9,35.8,82.1,0.9,2.9,0.0,6.61,0
171,Fran Beltrán ,23, DMC,,31(6),2611,0,0.3,50.6,91.2,0.2,3.6,0.0,6.61,0
172,Pepelu ,24, DMC,,23(6),2016,0,0.9,41.7,81.1,0.8,2.6,0.0,6.61,0
173,Rubén Rochina ,31, M(CLR),,8(7),739,3,0.9,22.5,72.8,0.6,2.3,0.1,6.61,0
174,Antonio Puertas ,30, M(LR),,25(8),2272,1,0.5,18.6,72.5,0.2,0.6,0.0,6.59,0
175,Álex Collado ,23, AM(CR),,13(4),1027,1,1.0,18.5,81.2,0.5,0.5,0.1,6.58,0
176,Adnan Januzaj ,27, AM(CLR),,17(16),1626,0,1.0,17.8,75.6,1.1,1.1,0.0,6.57,0
