,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,WC_Rating
177,Omar Mascarell ,29, DMC,,30(2),2504,0,0.2,38.3,85.4,0.0,2.7,0.0,6.56,0
178,Luis Rioja ,28, AM(L),,36(1),3128,3,0.9,19.9,69.6,0.8,0.8,0.1,6.56,0
179,Enis Bardhi ,27, M(CLR),,17(13),1699,3,1.4,21.3,76.9,0.7,1.2,0.1,6.54,0
180,Álex Fernández ,29, AM(CL),,22(10),2051,2,0.7,30.1,81.8,0.4,2.0,0.0,6.54,0
181,Nico González ,20, M(C),,12(15),1111,1,0.5,24.9,90.0,0.1,0.4,0.1,6.53,0
182,Kike Pérez ,25, AM(C),,5(7),518,0,0.5,19.6,74.9,0.3,1.3,0.1,6.53,0
183,Salva  ,38, M(CL),,17(11),1510,3,1.0,33.8,84.2,0.5,2.5,0.1,6.52,0
184,Óscar Rodríguez ,24, AM(CLR),,9(9),946,1,0.6,21.2,79.0,0.7,1.6,0.1,6.51,0
185,Héctor Herrera ,32, M(C),,8(13),852,0,0.5,31.1,84.8,0.1,1.5,0.0,6.49,0
186,Unai Vencedor ,21, DMC,,29(5),2397,0,0.4,36.9,80.1,0.2,2.9,0.0,6.48,0
187,Rodri ,22, AM(R),,10(11),882,2,0.8,19.2,82.9,0.0,0.6,0.1,6.47,0
188,Vicente Iborra ,34, M(C),,12(8),1032,1,0.1,31.8,85.8,0.0,0.8,0.0,6.47,0
189,Tete Morente ,25, AM(CLR),,18(14),1636,3,0.5,15.5,74.4,0.5,0.5,0.1,6.47,0
190,Gerard Gumbau ,27, DMC,,20(11),1891,4,0.9,31.0,84.1,0.8,2.7,0.1,6.46,0
191,Philippe Coutinho ,30, M(CLR),,5(7),500,0,0.1,25.2,86.8,0.3,0.6,0.0,6.46,0
192,Benjamin Bourigeaud ,28, M(CLR),,38,3215,12,3.2,42.1,76.9,2.7,2.7,0.1,7.44,0
193,Téji Savanier ,30, M(C),,28(1),2422,7,2.1,47.5,72.4,1.6,5.5,0.2,7.4,0
194,Aurélien Tchouaméni ,22, DMC,,33(2),2933,2,0.6,58.9,86.7,0.1,3.1,0.1,7.32,0
195,Marco Verratti ,29, M(C),,23(1),1951,2,1.3,87.3,91.6,0.1,2.7,0.2,7.21,0
196,Bruno Guimarães ,24, DMC,,19(1),1642,3,1.8,66.5,88.0,0.3,4.7,0.3,7.21,0
197,in Faivre ,24, AM(CLR),,20(1),1801,5,1.8,35.0,83.3,1.9,1.2,0.1,7.2,0
198,Franck Honorat ,26, M(LR),,34,2911,4,1.7,28.7,74.5,1.6,1.2,0.1,7.13,0
199,Lovro Majer ,24, AM(CR),,21(8),1841,8,1.6,33.0,81.0,0.8,1.6,0.1,7.06,0
200,in Faivre ,24, AM(CLR),,9(5),889,0,1.9,37.7,87.9,1.7,1.3,0.1,7.03,0
201,Kamaldeen Sulemana ,20, AM(L),,11(9),1018,2,1.1,16.0,80.3,0.4,1.3,0.0,7.0,0
202,Jimmy Cabot ,28, M(LR),,24,2012,4,0.8,45.6,80.9,0.5,3.1,0.0,6.99,0
203,Florian Tardieu ,30, M(C),,29(1),2631,2,1.6,63.1,86.5,1.2,5.0,0.1,6.98,0
204,Adrien Thomasson Strasbourg,28, M(CLR),,27(4),2397,4,1.1,39.5,78.8,0.4,1.4,0.2,6.94,0
205,Seko Fofana ,27, M(C),,38,3364,1,1.1,45.8,89.8,0.2,1.7,0.0,6.94,0
206,Cheick Oumar Doucouré ,22, DMC,,33(1),2948,4,1.2,55.7,87.5,0.0,2.4,0.2,6.94,0
207,Houssem Aouar ,24, M(CL),,29(7),2508,4,1.1,39.1,86.9,0.1,1.2,0.2,6.93,0
208,Sofiane Diop ,22, AM(CLR),,24(6),1959,4,1.3,28.7,77.6,0.9,1.4,0.2,6.9,0
209,Flavien Tait ,29, M(CLR),,24(4),2131,3,1.1,44.0,86.4,0.1,2.8,0.0,6.9,0
210,Gerson ,25, M(CLR),,29(6),2553,4,0.9,35.6,90.4,0.1,1.0,0.0,6.89,0
211,Mattéo Guendouzi ,23, M(C),,35(3),3154,6,0.9,55.1,88.4,0.2,3.1,0.1,6.87,0
212,Idrissa Gueye ,32, M(C),,18(8),1641,1,0.6,53.0,93.5,0.0,1.4,0.0,6.86,0
213,Youcef Belaïli ,30, AM(L),,11(2),832,2,1.4,25.2,76.1,1.0,2.0,0.2,6.86,0
214,Renato Sanches ,25, M(CR),,20(5),1657,5,1.4,44.9,85.1,0.8,4.8,0.1,6.85,0
215,Azor Matusiwa ,24, DMC,,29,2469,1,0.6,40.6,83.7,0.0,3.4,0.0,6.84,0
216,Ander Herrera ,33, M(C),,12(7),1093,2,0.9,55.2,92.3,0.1,2.5,0.3,6.84,0
217,Baptiste Santamaría ,27, DMC,,28(6),2520,1,0.5,44.9,87.0,0.1,3.6,0.0,6.83,0
218,Cengiz Ünder ,25, AM(CLR),,25(7),2209,2,1.1,25.2,79.7,0.8,1.0,0.1,6.82,0
219,Jean Onana ,22, DMC,,23,1846,2,0.7,45.6,81.8,0.1,3.9,0.3,6.81,0
220,Aleksandr Golovin ,26, M(CLR),,17(10),1505,4,1.6,23.5,80.2,1.2,0.7,0.1,6.81,0
221,Rominigue Kouamé ,25, M(C),,34,2977,2,0.6,45.4,88.2,0.1,1.5,0.1,6.8,0
222,Justin Kluivert ,23, AM(LR),,25(3),1883,5,1.3,17.3,76.3,1.5,0.7,0.1,6.79,0
223,Mario Lemina ,28, DMC,,24(8),1972,0,0.2,36.4,87.8,0.1,1.7,0.0,6.79,0
224,Laurent Abergel ,29, DMC,,34,2963,3,1.0,47.2,82.4,0.3,2.9,0.1,6.78,0
225,Sanjin Prcic Strasbourg,28, M(C),,27(5),2197,0,0.7,42.0,86.3,0.4,4.1,0.1,6.77,0
226,Gelson Martins ,27, M(LR),,24(8),1921,3,0.7,19.4,80.4,0.1,0.3,0.0,6.77,0
227,Nabil Bentaleb ,27, M(C),,18,1523,0,0.2,50.3,83.0,0.0,2.6,0.0,6.76,0
228,Przemyslaw Frankowski ,27, M(CLR),,28(9),2452,5,1.0,31.2,82.2,0.4,0.8,0.1,6.75,0
229,Enzo Le Fée ,22, AM(CLR),,25(11),2202,3,1.4,30.9,82.4,1.0,2.2,0.1,6.74,0
230,Leandro Paredes ,28, DMC,,10(5),842,2,0.5,62.2,95.8,0.0,2.5,0.0,6.73,0
231,Maxence Caqueret ,22, DMC,,26(5),2335,0,0.8,48.8,85.9,0.2,1.6,0.1,6.73,0
232,Alexis Flips ,22, M(CR),,13(12),1062,4,1.2,15.5,66.9,1.0,0.6,0.0,6.73,0
233,Youssouf Fofana ,23, DMC,,23(10),2187,4,0.6,35.4,76.3,0.1,1.6,0.1,6.72,0
234,Wylan Cyprien ,27, M(C),,17(7),1494,3,1.3,35.8,84.1,1.0,2.5,0.1,6.72,0
235,Thomas Mangani ,35, M(C),,25(8),2195,2,0.8,42.3,81.7,0.7,3.2,0.0,6.72,0
236,Thomas Monconduit ,31, DMC,,26(8),2254,2,0.9,36.1,79.8,0.4,3.3,0.0,6.71,0
237,Jean-Ricner Bellegarde Strasbourg,24, M(CLR),,26(10),2337,3,0.6,28.1,85.6,0.3,1.1,0.1,6.7,0
238,Pedro Chirivella ,25, DMC,,31,2647,1,0.8,54.9,85.2,0.1,5.4,0.1,6.69,0
239,Jérémy Doku ,20, AM(LR),,4(10),467,2,0.6,10.2,79.0,0.1,0.1,0.1,6.68,0
240,Pablo Rosario ,25, DMC,,31(5),2736,2,0.6,47.4,88.5,0.1,2.0,0.0,6.68,0
241,Lucien Agoumé ,20, DMC,,21(6),1869,0,0.5,36.6,84.6,0.0,2.9,0.0,6.67,0
242,Vincent Pajot ,32, M(C),,27(3),2320,0,0.5,35.4,86.0,0.1,2.2,0.0,6.67,0
243,Xeka ,27, M(C),,19(4),1622,0,0.6,36.5,81.2,0.3,2.6,0.1,6.66,0
244,Yacine Adli ,22, M(C),,25(11),2265,7,1.6,31.0,78.2,0.7,2.8,0.1,6.66,0
245,Habib Maïga ,26, DMC,M(R),16(1),1274,0,0.6,31.3,82.1,0.1,1.2,0.0,6.65,0
246,Khéphren Thuram-Ulien ,21, DMC,,20(16),1897,2,0.6,31.0,86.4,0.0,1.2,0.1,6.65,0
247,Elbasan Rashani ,29, AM(LR),,22(7),1769,3,0.5,18.5,77.1,0.3,0.2,0.0,6.65,0
248,Haris Belkebla ,28, DMC,,26(5),2312,0,0.5,31.2,84.3,0.2,1.9,0.0,6.64,0
249,Johan Gastien ,34, DMC,,32,2752,1,0.8,79.8,83.4,0.5,9.3,0.0,6.64,0
250,Jason Berthomier ,32, AM(C),,22(7),1744,5,1.6,44.4,86.6,1.3,1.7,0.1,6.63,0
251,Jordan Ferri ,30, M(C),,33(1),2920,2,0.9,73.1,84.7,0.3,6.5,0.1,6.62,0
252,Jonas Martin ,32, M(CL),,24(5),2111,1,0.3,58.1,90.7,0.0,2.8,0.1,6.62,0
253,Hicham Boudaoui ,22, M(CR),,21(8),1633,2,0.5,21.0,79.3,0.4,0.3,0.0,6.61,0
254,Xavier Chavalerin ,31, DMC,M(L),31(3),2724,2,0.7,27.9,80.1,0.4,1.5,0.1,6.61,0
255,Paul Lasne ,33, M(CLR),,9(6),847,1,0.5,26.8,84.6,0.3,1.4,0.0,6.61,0
256,Lucas da Cunha ,21, AM(R),,11(4),844,0,0.9,20.4,83.7,0.5,1.1,0.1,6.6,0
257,Florent Mollet ,30, AM(CLR),,32(3),2649,2,0.9,30.0,87.0,0.7,1.1,0.0,6.6,0
258,Bonke Innocent ,26, DMC,,11(1),878,0,0.3,31.9,86.7,0.2,1.9,0.0,6.59,0
259,Yohann Magnin ,25, DMC,,19(5),1717,0,0.3,36.9,81.7,0.1,1.5,0.0,6.58,0
260,Tristan Dingomé ,31, M(C),,12(13),1073,4,1.0,19.9,78.7,0.7,1.0,0.1,6.58,0
261,Javairô Dilrosun ,24, AM(CLR),,19(13),1738,6,1.0,16.4,80.2,0.6,0.8,0.0,6.57,0
262,Moreto Cassamá ,24, DMC,,11(6),808,0,0.5,24.3,83.3,0.4,2.0,0.0,6.57,0
263,Mathias Lage ,25, M(CLR),,11(13),1038,2,0.4,16.6,73.9,0.1,0.4,0.0,6.54,0
264,Pape Sarr ,19, AM(C),,22(11),2130,3,0.6,30.3,83.3,0.0,1.7,0.1,6.54,0
265,David da Costa ,21, AM(C),,16(17),1463,5,1.2,22.7,84.5,0.1,0.5,0.1,6.53,0
266,Joris Chotard ,20, DMC,,33(3),2942,1,0.3,35.0,84.9,0.2,2.2,0.0,6.53,0
267,Konrad De la Fuente ,21, AM(L),,9(7),788,2,0.6,12.8,82.9,0.3,0.1,0.0,6.52,0
268,Amadou Onana ,21, DMC,,11(21),1352,0,0.5,19.3,83.3,0.0,1.1,0.1,6.52,0
269,Jean Lucas ,24, M(C),,18(10),1451,1,0.6,26.8,82.8,0.5,1.3,0.1,6.52,0
270,Pape Gueye ,23, DMC,,17(11),1528,1,0.3,34.3,88.4,0.0,1.9,0.0,6.5,0
271,Sergej Milinkovic-Savic ,27, AM(C),,36(1),3111,11,1.4,62.2,81.4,0.3,2.6,0.1,7.36,0
272,Lorenzo Pellegrini ,26, M(CL),,27(1),2300,5,2.4,32.9,77.7,2.0,1.9,0.1,7.34,0
273,Marcelo Brozovic ,29, M(CR),,35,2951,1,1.0,73.6,92.5,0.3,5.8,0.1,7.13,0
274,Nicolò Barella ,25, AM(C),,36,2933,12,1.8,49.6,85.1,0.6,2.3,0.2,7.13,0
275,Fabián Ruiz ,26, M(CL),,29(3),2398,4,1.0,67.9,90.5,0.1,4.2,0.1,7.1,0
276,André-Frank Zambo Anguissa ,26, M(C),,21(4),1925,2,0.9,48.1,89.9,0.2,1.2,0.0,7.05,0
277,Sandro Tonali ,22, DMC,,31(5),2608,2,1.2,38.0,85.5,0.9,2.8,0.1,7.02,0
278,Antonio Candreva ,35, M(CLR),,36,3132,10,2.2,42.4,76.2,2.1,3.5,0.2,6.94,0
279,Franck Kessié ,25, M(C),,25(6),2312,0,0.9,42.5,88.5,0.1,1.9,0.0,6.94,0
280,Antonin Barak ,27, AM(C),,27(2),2348,4,1.0,37.2,80.5,0.1,0.8,0.1,6.91,0
281,Hamed Traorè ,22, AM(CLR),,21(10),1780,2,1.2,24.6,82.1,0.5,0.9,0.1,6.89,0
282,Mario Pasalic ,27, M(CL),,24(13),2010,6,1.1,26.6,81.1,0.0,0.9,0.0,6.86,0
283,Sasa Lukic ,26, M(C),,34(1),2987,4,0.9,48.8,87.8,0.3,2.1,0.1,6.85,0
284,Adrien Tameze ,28, M(C),,26(12),2580,2,0.7,32.1,81.1,0.2,1.7,0.1,6.84,0
285,Jerdy Schouten ,25, DMC,,16(1),1394,1,0.7,46.2,84.7,0.0,1.7,0.0,6.84,0
286,Nicolás Domínguez ,24, DMC,,23(5),2027,3,1.0,42.3,83.4,0.1,2.8,0.1,6.83,0
287,Éderson ,23, DMC,,13(2),1153,1,0.6,24.3,81.6,0.0,1.1,0.1,6.82,0
288,Adrien Rabiot ,27, DMC,M(L),28(4),2294,2,0.7,31.8,83.3,0.2,0.8,0.0,6.82,0
289,Jordan Veretout ,29, M(C),,26(10),2329,8,1.5,37.0,88.4,1.0,2.8,0.0,6.81,0
290,Manuel Locatelli ,24, M(C),,23(8),2161,4,0.6,45.8,85.8,0.0,3.2,0.0,6.81,0
291,Stephane Singo ,21, M(R),,32(3),2626,4,0.7,30.4,79.8,0.4,1.5,0.0,6.8,0
292,Szymon Zurkowski ,24, M(C),,29(6),2320,2,0.6,24.9,79.9,0.1,0.5,0.0,6.8,0
293,Destiny Udogie ,19, M(L),,29(6),2486,4,0.8,21.9,78.4,0.1,0.3,0.0,6.8,0
294,Milan Badelj ,33, M(C),,34,2853,0,0.8,45.6,78.9,0.1,2.4,0.1,6.79,0
295,Sérgio Oliveira ,30, DMC,,13(1),902,1,1.1,32.8,83.2,0.9,2.1,0.0,6.79,0
296,Ismaël Bennacer ,24, DMC,,15(16),1523,1,0.7,34.5,87.7,0.2,2.1,0.1,6.78,0
297,Davide Frattesi ,22, DMC,,35(1),2885,3,0.8,34.0,83.7,0.1,1.3,0.1,6.77,0
298,Maxime Lopez ,24, M(CR),,33(2),2942,2,1.4,73.6,91.2,0.1,2.7,0.0,6.76,0
299,Giacomo Bonaventura ,33, M(CLR),,28(3),2280,5,1.1,37.4,85.2,0.3,2.0,0.0,6.75,0
300,Nicolò Rovella ,20, DMC,,16(5),1467,3,1.4,40.7,84.7,1.4,3.0,0.1,6.73,0
301,Alberto Grassi ,27, DMC,,26(4),2185,2,0.5,34.3,81.3,0.1,1.1,0.0,6.73,0
302,Stanislav Lobotka ,27, DMC,,19(4),1687,0,0.7,61.5,93.7,0.0,1.1,0.1,6.73,0
303,Darko Lazovic ,31, M(CLR),,32(2),2783,7,1.3,34.9,70.8,0.6,1.3,0.0,6.72,0
304,Remo Freuler ,30, DMC,,28(1),2380,3,0.8,58.1,87.2,0.2,1.4,0.0,6.71,0
305,Piotr Zielinski ,28, M(CL),,26(9),2099,5,1.4,31.6,84.8,0.4,0.8,0.0,6.71,0
306,Daniele Verde Spezia,26, AM(CLR),,21(12),1959,6,1.2,20.1,79.3,1.1,1.6,0.0,6.7,0
307,Walace ,27, DMC,,33(3),2972,0,0.8,45.5,83.1,0.1,2.6,0.0,6.69,0
308,Tommaso Pobega ,23, AM(C),,24(9),2240,3,0.8,35.0,79.5,0.0,1.5,0.0,6.69,0
309,Nedim Bajrami ,23, AM(C),,23(12),2063,5,1.5,20.8,79.3,1.0,0.4,0.1,6.68,0
310,Alexis Saelemaekers ,23, M(R),,22(14),1869,3,1.1,22.1,83.0,0.3,0.4,0.0,6.68,0
311,Mattia Aramu ,27, AM(CR),,25(7),2112,5,1.1,19.4,75.2,1.2,0.8,0.1,6.68,0
312,Lucas Torreira ,26, DMC,,26(5),2201,1,0.7,43.8,87.7,0.0,2.9,0.1,6.67,0
313,Morten Thorsby ,26, M(CLR),,35,2952,1,0.4,28.2,71.1,0.0,0.5,0.0,6.66,0
314,Nicola Zalewski ,20, M(L),,9(7),799,0,0.6,24.4,80.8,0.4,1.5,0.0,6.66,0
315,Mattias Svanberg ,23, M(CL),,31(5),2576,3,1.0,27.2,76.6,0.3,1.4,0.1,6.66,0
316,Rodrigo Bentancur ,25, M(C),,13(6),1157,2,0.6,39.6,87.5,0.0,1.7,0.1,6.65,0
317,Ivan Ilic ,21, M(C),,30(2),2537,4,0.6,41.0,82.3,0.5,2.1,0.0,6.65,0
318,Mamadou Coulibaly ,23, M(C),,9(3),810,0,0.4,26.8,76.9,0.2,0.8,0.0,6.64,0
319,Nahitan Nández ,26, M(CLR),,16(5),1521,2,1.0,26.0,74.4,0.9,1.5,0.0,6.63,0
320,Brahim Díaz ,23, AM(CLR),,25(6),1872,3,1.0,22.5,86.0,0.1,0.6,0.0,6.62,0
321,Matteo Pessina ,25, AM(CR),,18(9),1444,1,0.9,32.0,82.6,0.1,0.7,0.0,6.62,0
322,Rolando Mandragora ,25, DMC,,16(5),1319,2,1.5,34.2,86.4,1.2,1.0,0.0,6.61,0
323,Roberto Soriano ,31, AM(CLR),,32(3),2639,4,1.4,34.8,82.0,0.3,0.9,0.2,6.61,0
324,Raoul Bellanova ,22, M(R),,27(4),2498,2,1.0,24.0,75.8,1.0,1.1,0.0,6.58,0
325,Danilo Cataldi ,28, M(C),,19(13),1713,2,0.8,41.6,88.9,0.6,2.0,0.1,6.57,0
326,Dennis Praet ,28, AM(CR),,17(6),1544,2,1.1,22.8,77.5,0.6,0.6,0.2,6.57,0
327,Samuele Ricci ,21, M(C),,17(4),1533,1,0.3,43.9,89.9,0.0,2.2,0.0,6.57,0
328,Riccardo Saponara ,30, AM(CL),,13(16),1287,3,0.7,18.0,79.7,0.3,1.1,0.0,6.57,0
329,Grigoris Kastanos ,24, AM(CR),,16(11),1346,1,1.0,19.5,75.1,0.6,0.7,0.1,6.57,0
330,Jean-Victor Makengo ,24, AM(CL),,26(7),2360,3,0.8,25.0,84.2,0.1,0.6,0.1,6.56,0
331,Eljif Elmas ,22, M(CLR),,12(25),1601,5,0.6,21.5,87.8,0.0,0.5,0.1,6.54,0
332,Rade Krunic ,28, M(CL),,15(13),1414,2,0.6,19.5,84.8,0.0,0.5,0.0,6.54,0
333,Manolo Portanova ,22, AM(CL),,17(7),1333,0,0.4,11.5,62.3,0.3,0.2,0.0,6.53,0
334,Albin Ekdal ,33, M(C),,19(7),1641,0,0.3,28.5,79.2,0.0,1.2,0.0,6.53,0
335,Antonio Vacca ,32, M(C),,15(6),1070,1,0.2,33.1,85.6,0.0,3.0,0.0,6.53,0
336,Gaetano Castrovilli ,25, M(C),,16(7),1400,1,0.6,21.3,80.2,0.3,1.1,0.0,6.52,0
337,Adrien Silva ,33, M(C),,12(5),1086,1,0.5,34.9,85.5,0.2,2.5,0.0,6.52,0
338,Miguel Veloso ,36, M(C),,17(5),1347,3,1.1,37.9,83.0,1.0,2.3,0.0,6.52,0
339,Tolgay Arslan ,32, M(C),,22(8),1677,1,0.5,21.4,81.8,0.2,0.8,0.0,6.51,0
340,Razvan Marin ,26, M(C),,31(5),2817,5,1.9,32.2,81.3,1.3,2.3,0.1,6.5,0
341,Gianluca Busio ,20, M(C),,23(6),1956,2,0.6,29.3,84.6,0.4,1.9,0.0,6.49,0
342,Sofian Kiyine ,24, AM(CL),,14(12),1239,0,0.7,18.0,79.3,0.4,1.8,0.1,6.49,0
343,Nicolas Haas ,26, M(C),,11(5),1007,2,0.8,27.1,79.7,0.1,1.1,0.1,6.49,0
344,Alessandro Deiola ,27, M(C),,28(5),2147,1,0.4,22.9,77.5,0.1,1.6,0.0,6.48,0
345,Lazar Samardzic ,20, Midfielder,,1(21),472,2,0.9,10.0,84.1,0.5,0.5,0.1,6.48,0
346,Arthur ,26, DMC,,11(9),957,0,0.3,34.9,89.7,0.0,2.2,0.1,6.48,0
347,Tomás Rincón ,34, M(CR),,13(4),1171,0,0.2,33.4,84.3,0.0,2.1,0.0,6.48,0
348,Roberto Gagliardini ,28, DMC,,6(12),640,2,0.3,18.2,86.6,0.0,0.5,0.0,6.47,0
349,Lassana Coulibaly ,26, M(CL),,29(2),2341,0,0.3,26.2,82.7,0.1,0.9,0.0,6.47,0
350,Riccardo Sottil ,23, AM(LR),,14(10),1245,2,0.6,14.0,85.1,0.4,0.7,0.0,6.47,0
351,Samuele Ricci ,21, M(C),,9(3),725,0,0.3,32.8,92.9,0.0,1.6,0.0,6.46,0
352,Giulio Maggiore Spezia,24, M(C),,33(2),2835,3,0.9,31.4,75.6,0.0,1.3,0.1,6.46,0
