,Unnamed: 0,name,age,position1,position2,Apps,Mins,Tackles,Inter,Clear,Blocks,Rating,WC_Rating,Country
0,2,Joshua Kimmich,27, D(CR),DMC,28,2478,1.4,1.9,0.9,0.3,7.6,0,Germany
1,7,Nico Schlotterbeck,22, D(C),,32,2789,2.3,1.8,4.6,1.0,7.39,0,Germany
3,16,David Raum,24, D(L),M(LR),31(1),2762,1.6,0.8,1.1,0.2,7.16,0,Germany
11,37,Borna Sosa,24, D(L),M(L),28,2500,0.8,0.9,2.0,0.1,7.02,0,Croatia
12,44,Dayot Upamecano,23, D(C),,25(3),2210,2.4,1.1,2.4,0.4,6.98,0,France
20,64,Thomas Meunier,30, D(R),M(R),17,1406,1.7,0.7,1.4,0.1,6.88,0,Belgium
22,66,Jeremie Frimpong,21, D(R),M(R),25,2062,1.3,0.7,1.3,0.2,6.88,0,Netherlands
26,71,Benjamin Pavard,26, D(CLR),M(R),24(1),2080,1.4,1.4,2.0,0.6,6.87,0,France
40,98,Denis Zakaria,25, D(C),DMC,15(1),1395,1.4,1.2,1.3,0.3,6.8,0,Switzerland
41,99,Silvan Widmer,29, D(R),M(R),33,2925,1.8,1.3,1.6,0.5,6.79,0,Switzerland
46,111,Matthias Ginter,28, D(CR),DMC,26(1),2268,1.3,1.2,2.7,0.4,6.77,0,Germany
60,139,Manuel Akanji,27, D(CR),,25(1),2263,1.3,1.3,2.1,0.6,6.71,0,Switzerland
65,150,Lukas Klostermann,26, D(CLR),M(R),17(6),1648,1.3,1.1,2.3,0.1,6.69,0,Germany
80,182,Axel Witsel,33, D(C),M(C),22(7),1946,1.4,0.9,1.2,0.3,6.62,0,Belgium
95,223,Armel Bella-Kotchap,20, D(C),,19(2),1679,1.6,1.9,4.0,0.8,6.56,0,Germany
96,226,Nico Elvedi,25, D(CLR),,28,2432,1.4,1.2,2.9,0.8,6.55,0,Switzerland
112,272,Joe Scally,19, D(R),M(R),20(10),1905,1.3,0.7,1.1,0.1,6.48,0,United States
122,2,Trent Alexander-Arnold,23, D(R),M(R),32,2854,1.3,1.3,1.0,0.1,7.52,0,England
127,27,Virgil van Dijk,31, D(C),,34,3060,0.5,0.9,3.1,0.4,7.18,0,Netherlands
128,34,John Stones,28, D(CR),,12(2),1118,0.4,0.8,1.8,0.2,7.1,0,England
129,35,Declan Rice,23, D(C),DMC,35(1),3178,2.2,1.8,1.4,0.6,7.1,0,England
131,41,Thiago Silva,37, D(C),,28(4),2651,1.0,1.4,3.0,1.0,7.08,0,Brazil
132,43,Bukayo Saka,20, D(L),M(CLR),36(2),2996,1.1,0.6,0.6,0.1,7.06,0,England
136,56,Fabinho,28, D(CR),DMC,26(3),2316,1.6,1.4,0.8,0.3,7.0,0,Brazil
144,75,Thomas Partey,29, D(R),M(CR),23(1),2032,1.8,1.0,1.4,0.2,6.96,0,Ghana
150,84,Cristian Romero,24, D(C),,21(1),1846,2.8,1.5,3.3,1.0,6.92,0,Argentina
155,92,Matty Cash,25, D(R),M(CLR),38,3380,2.3,1.3,2.2,0.4,6.91,0,Poland
157,95,Andreas Christensen,26, D(C),DMC,17(2),1496,0.7,1.5,2.7,0.3,6.9,0,Denmark
158,96,Aymeric Laporte,28, D(CL),,33,2836,1.0,0.6,1.8,0.3,6.9,0,Spain
160,102,Alex Telles,29, D(L),M(L),18(3),1660,2.3,1.2,2.0,0.2,6.89,0,Brazil
168,117,Jordan Henderson,32, D(C),M(CLR),29(6),2604,1.0,0.7,0.3,0.0,6.87,0,England
171,124,Diogo Dalot,23, D(LR),M(R),19(5),1799,2.3,1.2,2.3,0.5,6.86,0,Portugal
173,131,Takehiro Tomiyasu,23, D(CR),,20(1),1682,1.7,1.1,2.6,0.1,6.83,0,Japan
174,132,Mohammed Salisu,23, D(CL),,33(1),2972,2.4,2.3,4.4,0.8,6.82,0,Ghana
178,141,Jan Bednarek,26, D(C),,30(1),2633,1.0,2.3,4.5,0.9,6.81,0,Poland
184,156,Ben Davies,29, D(CL),M(L),28(1),2540,1.2,1.0,2.5,0.7,6.78,0,Wales
185,157,Ben White,24, D(CR),DMC,32,2880,1.4,1.3,3.2,0.8,6.78,0,England
188,165,Eric Dier,28, D(CR),DMC,35,3072,0.4,0.8,4.0,0.9,6.77,0,England
205,192,Jeffrey Schlupp,29, D(L),M(CLR),20(12),1846,1.4,0.6,1.0,0.3,6.73,0,Ghana
209,200,Kyle Walker,32, D(CR),M(R),20,1756,0.8,0.7,0.8,0.2,6.72,0,England
214,208,Timothy Castagne,26, D(CLR),M(LR),22(5),2126,2.5,1.1,1.7,0.3,6.7,0,Belgium
221,224,Joachim Andersen,26, D(C),,32(2),2915,0.9,1.1,3.6,0.6,6.67,0,Denmark
222,226,Granit Xhaka,29, D(L),M(C),27,2331,1.2,0.8,1.0,0.2,6.67,0,Switzerland
223,234,Conor Coady,29, D(CR),DMC,38,3364,0.8,0.7,3.7,1.1,6.66,0,England
226,243,Harry Maguire,29, D(C),,28(2),2514,1.1,1.1,3.3,1.0,6.65,0,England
227,250,Luke Shaw,27, D(CL),M(L),19(1),1603,1.1,0.5,0.9,0.6,6.64,0,England
230,262,Connor Roberts,26, D(LR),M(R),19(2),1693,1.0,1.0,2.5,0.2,6.61,0,Wales
237,288,Kalvin Phillips,26, D(C),DMC,18(2),1596,2.7,1.2,0.9,0.5,6.57,0,England
240,21,Dani Alves,39, D(R),M(CR),13(1),1103,2.1,0.8,0.6,0.2,7.03,0,Brazil
243,29,Jordi Alba,33, D(L),M(L),30,2648,1.6,1.1,1.1,0.2,6.99,0,Spain
252,41,Juan Foyth,24, D(CR),DMC,22(3),1932,2.8,0.8,1.7,0.3,6.94,0,Argentina
258,59,Frenkie de Jong,25, D(C),DMC,30(2),2486,1.1,0.6,0.5,0.2,6.91,0,Netherlands
264,74,Pau Torres,25, D(C),,33,2858,1.0,0.6,3.1,0.7,6.86,0,Spain
299,175,Marcos Llorente,27, D(R),M(CR),29,2456,1.8,0.9,1.3,0.3,6.67,0,Spain
321,232,Daniel Wass,33, D(LR),M(CLR),19,1592,1.2,0.7,0.8,0.1,6.59,0,Denmark
322,235,Joseph Aidoo,26, D(C),,30(2),2641,1.2,1.2,3.0,0.4,6.58,0,Ghana
324,241,Kieran Trippier,31, D(LR),M(R),12(3),979,1.5,0.7,0.5,0.1,6.57,0,England
338,284,Nemanja Gudelj,30, D(C),M(C),9(12),1040,0.8,1.0,1.7,0.4,6.51,0,Serbia
369,55,Danilo Pereira,30, D(C),DMC,22(5),2039,1.2,1.4,1.0,0.4,6.93,0,Portugal
370,56,Achraf Hakimi,23, D(LR),M(R),28(4),2486,2.3,0.9,0.6,0.2,6.93,0,Morocco
375,66,Nayef Aguerd,26, D(C),,31,2738,0.9,0.8,4.0,0.5,6.88,0,Morocco
376,68,William Saliba,21, D(C),,36,3240,1.5,1.3,2.2,0.4,6.87,0,France
379,75,Marquinhos,28, D(CR),DMC,32,2862,1.2,0.5,3.0,0.6,6.86,0,Brazil
380,77,Christopher Wooh,20, D(C),,11(3),1051,2.1,1.5,2.8,1.0,6.85,0,Cameroon
400,125,Presnel Kimpembe,27, D(C),,29(1),2580,1.1,1.3,2.4,0.5,6.76,0,France
402,127,Wout Faes,24, D(C),,37,3330,1.1,1.4,4.5,1.0,6.76,0,Belgium
414,153,Jean-Charles Castelletto,27, D(C),,28,2512,1.6,1.1,2.6,1.0,6.72,0,Cameroon
427,182,Nuno Mendes,20, D(L),M(L),18(9),1654,1.8,0.8,0.5,0.2,6.67,0,Portugal
432,192,Nuno Mendes,20, D(L),M(L),18(9),1654,1.8,0.8,0.5,0.2,6.67,0,Portugal
456,270,Thilo Kehrer,25, D(CLR),M(R),16(11),1505,0.8,0.9,1.0,0.4,6.56,0,Germany
473,14,Bremer,25, D(C),,33,2895,1.5,3.2,4.0,0.7,7.22,0,Brazil
482,48,Danilo,31, D(CLR),DMC,22,1895,1.7,1.5,2.1,0.5,6.93,0,Brazil
485,61,Matthijs de Ligt,23, D(C),,29(2),2675,1.1,0.8,3.1,0.7,6.87,0,Netherlands
488,85,Teun Koopmeiners,24, D(C),M(C),23(7),2129,1.3,0.5,0.5,0.1,6.82,0,Netherlands
490,90,Denzel Dumfries,26, D(R),M(R),21(12),2028,1.0,0.3,0.5,0.2,6.81,0,Netherlands
496,106,Marten de Roon,31, D(C),DMC,28(2),2549,2.3,1.5,1.4,0.1,6.78,0,Netherlands
511,133,Ethan Ampadu,21, D(C),DMC,26(3),2289,2.3,1.8,2.5,0.7,6.73,0,Wales
512,134,Weston McKennie,24, D(C),M(CLR),15(6),1372,1.0,1.1,0.9,0.4,6.73,0,United States
513,135,Stefan de Vrij,30, D(C),,28(2),2413,1.3,1.1,1.7,0.3,6.73,0,Netherlands
523,165,Nahuel Molina,24, D(R),M(R),31(4),2650,1.2,0.6,1.0,0.1,6.68,0,Argentina
542,208,Arthur Theate,22, D(C),,28(3),2428,1.1,1.4,2.0,0.5,6.61,0,Belgium
554,231,Alex Sandro,31, D(CL),M(L),17(11),1776,1.0,1.0,1.3,0.2,6.57,0,Brazil
567,276,Maya Yoshida,34, D(CR),,19(7),1823,0.7,1.1,2.7,0.8,6.53,0,Japan
